satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,Quit_the_Company,promotion_last_5years,Departments,salary,employee_id
0.424229017,0.333542974,5,182,3,1,0,0,RandD,high,NE15044
0.261919789,0.148266613,3,233,4,1,0,0,product_mng,high,NE15045
0.840195758,0.286901453,6,181,3,0,0,0,management,high,NE15046
0.876990604,0.477692896,5,204,4,1,0,0,sales,high,NE15047
0.606185928,0.401648594,3,255,3,1,0,0,IT,high,NE15048
0.515232637,0.879031344,3,132,5,1,0,0,support,low,NE15049
0.618129571,0.886697706,3,197,6,1,0,0,product_mng,high,NE15050
0.219413554,0.644934243,3,246,2,1,0,0,product_mng,medium,NE15051
0.114685361,0.820721726,3,144,3,1,0,0,technical,medium,NE15052
0.753784358,0.207436618,4,264,2,1,0,0,hr,high,NE15053
0.049412509,0.830307456,3,242,4,0,0,0,support,high,NE15054
0.056580088,0.307177927,2,232,3,0,0,0,technical,low,NE15055
0.572412823,0.175651286,4,184,3,1,0,0,support,high,NE15056
0.935544928,0.598580935,4,274,3,1,0,0,technical,high,NE15057
0.517048131,0.4402218,4,191,3,0,0,0,accounting,high,NE15058
0.205280034,0.616095534,6,153,3,1,0,1,sales,low,NE15059
0.540137865,0.90595145,6,146,3,0,0,0,management,high,NE15060
0.772948978,0.800485463,4,259,3,1,0,0,support,medium,NE15061
0.410268189,0.19948786,4,156,7,0,0,0,marketing,medium,NE15062
0.591645166,0.984465145,4,284,3,1,0,0,support,medium,NE15063
0.858448188,0.918310799,4,162,6,1,0,0,IT,low,NE15064
0.111997009,0.855751949,3,255,2,1,0,0,management,medium,NE15065
0.644405394,0.788894002,5,158,3,1,0,0,product_mng,low,NE15066
0.976977185,0.860385644,6,296,3,0,0,0,sales,medium,NE15067
0.442119428,0.394944978,4,206,3,1,0,0,sales,medium,NE15068
0.605273289,0.713086008,2,218,3,0,0,0,RandD,high,NE15069
0.909806521,0.777483137,4,234,2,1,0,0,sales,medium,NE15070
0.293372602,0.810959387,4,222,3,1,0,0,management,high,NE15071
0.556826371,0.258446453,4,246,3,0,0,0,product_mng,low,NE15072
0.48132677,0.249399594,5,270,2,0,0,0,technical,medium,NE15073
0.807642246,0.816155651,5,176,3,0,0,0,support,high,NE15074
0.166697827,0.185491232,3,231,3,0,0,0,accounting,high,NE15075
0.4280038,0.356213477,5,177,3,1,0,0,support,low,NE15076
0.88735304,0.235917522,2,155,2,1,0,0,product_mng,low,NE15077
0.206996848,0.584030985,5,212,4,0,0,0,support,high,NE15078
0.081802629,0.333143713,4,261,3,1,0,0,marketing,high,NE15079
0.241395042,0.91235411,4,144,6,1,0,0,accounting,medium,NE15080
0.153666741,0.07138621,5,266,3,0,0,0,marketing,high,NE15081
0.043437132,0.162372099,2,175,3,0,0,0,RandD,high,NE15082
0.666139756,0.65895706,3,248,4,0,0,0,product_mng,high,NE15083
0.998786609,0.420597282,4,158,4,1,0,0,management,high,NE15084
0.882977775,0.009858842,4,207,3,1,0,0,product_mng,medium,NE15085
0.056210837,0.322600238,2,229,5,1,0,0,IT,low,NE15086
0.271246317,0.883007109,4,180,2,1,0,0,technical,medium,NE15087
0.974857752,0.103933433,2,244,3,1,0,1,product_mng,high,NE15088
0.028847924,0.565016318,3,279,3,1,0,0,technical,low,NE15089
0.293283952,0.186385831,3,139,3,1,0,0,marketing,medium,NE15090
0.626711954,0.239885519,5,208,3,1,0,0,sales,high,NE15091
0.191649855,0.401751784,2,152,2,1,0,0,accounting,low,NE15092
0.496125167,0.155558902,3,264,3,0,0,0,marketing,low,NE15093
0.754727622,0.709232185,2,188,3,0,0,0,marketing,high,NE15094
0.36974831,0.817124404,2,259,2,1,0,0,technical,low,NE15095
0.432676868,0.450902464,7,276,2,0,0,0,sales,high,NE15096
0.586596962,0.60679166,2,197,4,1,0,0,hr,high,NE15097
0.994731473,0.383150774,5,234,8,0,0,0,hr,medium,NE15098
0.887891554,0.824671795,4,245,3,1,0,0,hr,low,NE15099
0.433834614,0.035243457,4,309,4,0,0,0,sales,medium,NE15100
0.706509697,0.25727586,4,193,3,0,0,0,sales,low,NE15101
0.215622623,0.767677634,2,142,3,1,0,0,hr,medium,NE15102
0.050319462,0.094472199,4,254,5,0,0,0,support,low,NE15103
0.445945929,0.032542724,3,273,2,0,0,1,accounting,medium,NE15104
