satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,Quit_the_Company,promotion_last_5years,Departments,salary,employee_id
0.1,0.84,6,279,4,0,1,0,sales,low,EMP00098
0.11,0.97,6,284,4,0,1,0,sales,low,EMP00099
0.9,1,5,221,6,0,1,0,sales,medium,EMP00100
0.38,0.52,2,154,3,0,1,0,sales,medium,EMP00101
0.36,0.52,2,147,3,0,1,0,sales,medium,EMP00102
0.42,0.46,2,150,3,0,1,0,sales,medium,EMP00103
0.09,0.94,7,267,4,0,1,0,sales,medium,EMP00104
0.43,0.52,2,158,3,0,1,0,sales,medium,EMP00105
0.24,0.46,7,224,5,0,1,0,accounting,medium,EMP00106
0.91,1,4,257,5,0,1,0,accounting,medium,EMP00107
0.44,0.5,2,148,3,0,1,0,accounting,medium,EMP00108
0.71,0.87,3,177,4,0,1,0,hr,medium,EMP00109
0.4,0.49,2,155,3,0,1,0,hr,medium,EMP00110
0.43,0.47,2,144,3,0,1,0,hr,medium,EMP00111
0.09,0.85,6,289,4,0,1,0,hr,high,EMP00112
0.43,0.52,2,160,3,0,1,0,technical,low,EMP00113
0.9,0.96,4,258,5,0,1,0,technical,medium,EMP00114
0.84,1,5,234,5,0,1,0,technical,medium,EMP00115
0.37,0.48,2,137,3,0,1,0,technical,medium,EMP00116
0.86,0.68,5,263,2,0,1,0,technical,medium,EMP00117
0.11,0.84,6,251,4,0,1,0,technical,low,EMP00118
0.37,0.57,2,133,3,0,1,0,technical,low,EMP00119
0.4,0.46,2,132,3,0,1,0,technical,low,EMP00120
0.14,0.62,4,158,4,1,1,0,technical,low,EMP00121
0.4,0.46,2,135,3,0,1,0,technical,low,EMP00122
0.75,1,4,216,6,0,1,0,technical,low,EMP00123
0.11,0.84,6,300,5,1,1,0,support,low,EMP00124
0.46,0.49,2,138,3,0,1,0,support,low,EMP00125
0.11,0.92,6,260,4,0,1,0,support,low,EMP00126
0.38,0.49,2,132,3,0,1,0,support,low,EMP00127
0.7,0.89,3,183,5,0,1,0,support,low,EMP00128
0.09,0.82,6,250,4,0,1,0,support,low,EMP00129
0.37,0.45,2,151,3,0,1,0,support,low,EMP00130
0.1,0.83,6,292,4,0,1,0,support,low,EMP00131
0.38,0.57,2,140,3,0,1,0,support,low,EMP00132
0.9,1,5,221,5,0,1,0,support,low,EMP00133
0.44,0.51,2,138,3,0,1,0,support,low,EMP00134
0.36,0.5,2,132,3,0,1,0,technical,low,EMP00135
0.31,0.84,7,133,5,0,1,0,technical,low,EMP00136
0.1,0.84,6,283,4,1,1,0,technical,low,EMP00137
0.42,0.48,2,129,3,0,1,0,management,low,EMP00138
0.74,1,4,249,5,0,1,0,IT,low,EMP00139
0.73,0.87,5,257,5,0,1,0,IT,low,EMP00140
0.09,0.96,6,245,4,0,1,0,IT,low,EMP00141
0.45,0.53,2,155,3,0,1,0,IT,low,EMP00142
0.11,0.8,6,256,4,0,1,0,IT,low,EMP00143
0.37,0.47,2,152,3,0,1,0,product_mng,low,EMP00144
0.84,0.99,4,267,5,0,1,0,product_mng,low,EMP00145
0.41,0.46,2,151,3,0,1,0,product_mng,low,EMP00146
0.76,0.92,4,239,5,0,1,0,product_mng,low,EMP00147
0.11,0.87,6,306,4,0,1,0,IT,low,EMP00148
0.84,0.88,4,263,5,1,1,0,marketing,low,EMP00149
0.39,0.5,2,147,3,0,1,0,marketing,low,EMP00150
0.11,0.91,6,278,4,0,1,0,marketing,low,EMP00151
0.45,0.56,2,154,3,0,1,0,marketing,low,EMP00152
0.37,0.52,2,143,3,0,1,0,marketing,low,EMP00153
0.4,0.52,2,155,3,0,1,0,marketing,low,EMP00154
0.39,0.48,2,160,3,0,1,0,sales,low,EMP00155
0.11,0.8,6,304,4,0,1,0,accounting,low,EMP00156
0.83,1,5,240,5,0,1,0,support,low,EMP00157
0.11,0.92,6,305,4,0,1,0,technical,low,EMP00158
0.39,0.5,2,136,3,0,1,0,management,low,EMP00159
0.45,0.45,2,132,3,0,1,0,marketing,low,EMP00160
0.1,0.95,7,301,4,0,1,0,marketing,low,EMP00161
0.9,0.98,5,243,6,0,1,0,marketing,low,EMP00162
0.45,0.51,2,147,3,0,1,0,sales,low,EMP00163
0.79,0.89,5,239,5,0,1,0,sales,low,EMP00164
0.9,0.99,5,260,5,0,1,0,sales,low,EMP00165
0.11,0.84,7,296,4,0,1,0,sales,low,EMP00166
0.43,0.55,2,129,3,0,1,0,sales,low,EMP00167
0.31,0.54,5,132,5,0,1,0,sales,low,EMP00168
0.32,0.5,2,135,5,0,1,0,sales,low,EMP00169
0.45,0.57,2,158,3,0,1,0,sales,low,EMP00170
0.81,0.99,4,259,5,0,1,0,sales,low,EMP00171
0.41,0.46,2,160,3,0,1,1,sales,low,EMP00172
0.11,0.78,7,278,4,0,1,0,sales,low,EMP00173
0.1,0.88,6,284,4,0,1,0,sales,low,EMP00174
0.7,0.53,2,274,4,0,1,0,sales,low,EMP00175
0.54,0.74,4,164,2,0,1,0,sales,low,EMP00176
0.41,0.48,2,148,3,0,1,0,sales,low,EMP00177
0.38,0.5,2,140,3,0,1,0,sales,medium,EMP00178
0.37,0.51,2,127,3,0,1,0,sales,medium,EMP00179
0.11,0.85,6,308,5,0,1,0,sales,medium,EMP00180
0.4,0.47,2,146,3,0,1,0,sales,medium,EMP00181
0.1,0.84,6,261,4,0,1,0,accounting,medium,EMP00182
0.89,0.99,5,257,5,0,1,0,accounting,medium,EMP00183
0.11,0.8,6,285,4,0,1,0,accounting,medium,EMP00184
0.36,0.55,2,141,3,0,1,0,hr,medium,EMP00185
0.4,0.46,2,127,3,0,1,0,hr,medium,EMP00186
0.09,0.85,6,297,4,0,1,0,hr,medium,EMP00187
0.4,0.46,2,143,3,0,1,0,hr,medium,EMP00188
0.37,0.55,2,152,3,0,1,0,technical,medium,EMP00189
0.44,0.51,2,156,3,0,1,0,technical,high,EMP00190
0.09,0.8,7,283,5,0,1,0,technical,low,EMP00191
0.92,0.87,4,226,6,1,1,0,technical,medium,EMP00192
0.74,0.91,4,232,5,0,1,0,technical,medium,EMP00193
0.09,0.82,6,249,4,0,1,0,technical,medium,EMP00194
0.89,0.95,4,275,5,0,1,0,technical,medium,EMP00195
0.09,0.8,6,304,4,0,1,0,technical,low,EMP00196
0.27,0.54,7,278,3,0,1,0,technical,low,EMP00197
0.1,0.91,6,287,4,0,1,0,technical,low,EMP00198
0.1,0.89,7,285,4,0,1,0,technical,low,EMP00199
0.77,0.94,5,226,6,0,1,0,support,low,EMP00200
0.9,0.82,5,259,5,0,1,0,support,low,EMP00201
0.39,0.5,2,135,3,0,1,0,support,low,EMP00202
0.76,1,5,219,5,0,1,0,support,low,EMP00203
0.1,0.93,6,256,4,0,1,0,support,low,EMP00204
0.87,0.9,5,254,6,0,1,0,support,low,EMP00205
0.38,0.5,2,153,3,0,1,0,support,low,EMP00206
0.77,0.99,5,228,5,0,1,0,support,low,EMP00207
0.78,0.87,4,228,5,0,1,0,support,low,EMP00208
0.44,0.5,2,128,3,0,1,0,support,low,EMP00209
0.38,0.52,2,153,3,0,1,0,support,low,EMP00210
0.43,0.46,2,156,3,0,1,0,technical,low,EMP00211
0.39,0.5,4,294,3,0,1,0,technical,low,EMP00212
0.88,1,5,219,5,0,1,0,technical,low,EMP00213
0.45,0.46,2,153,3,0,1,0,management,low,EMP00214
0.4,0.53,2,151,3,0,1,0,IT,low,EMP00215
0.36,0.51,2,155,3,0,1,0,IT,low,EMP00216
0.36,0.48,2,158,3,0,1,0,IT,low,EMP00217
0.9,0.98,5,245,5,0,1,0,IT,low,EMP00218
0.43,0.53,2,131,3,0,1,0,IT,low,EMP00219
0.89,0.87,5,225,5,0,1,0,product_mng,low,EMP00220
0.1,0.84,6,286,4,0,1,0,product_mng,low,EMP00221
0.37,0.5,2,135,3,0,1,0,product_mng,low,EMP00222
0.37,0.51,2,153,3,0,1,0,product_mng,low,EMP00223
0.87,0.9,5,252,5,0,1,0,IT,low,EMP00224
0.4,0.56,2,149,3,0,1,0,accounting,low,EMP00225
0.9,0.97,4,258,5,0,1,0,accounting,low,EMP00226
0.37,0.46,2,158,3,0,1,0,hr,low,EMP00227
0.44,0.54,2,149,3,0,1,0,hr,low,EMP00228
0.85,0.95,5,236,5,0,1,0,hr,low,EMP00229
0.78,0.98,5,239,6,0,1,0,marketing,low,EMP00230
0.42,0.47,2,159,3,0,1,0,marketing,low,EMP00231
0.92,0.99,5,255,6,0,1,0,sales,low,EMP00232
0.11,0.83,6,244,4,0,1,0,accounting,low,EMP00233
0.42,0.56,2,134,3,0,1,0,support,low,EMP00234
0.48,0.57,4,270,4,0,1,0,technical,low,EMP00235
0.83,0.85,4,255,5,0,1,0,management,low,EMP00236
0.4,0.53,2,151,3,0,1,0,marketing,low,EMP00237
0.43,0.45,2,135,3,0,1,0,marketing,low,EMP00238
0.43,0.53,2,146,3,0,1,0,marketing,low,EMP00239
0.1,0.97,7,254,4,0,1,0,sales,low,EMP00240
0.1,0.87,7,289,4,0,1,0,sales,low,EMP00241
0.37,0.46,2,156,3,0,1,0,sales,low,EMP00242
0.38,0.53,2,156,3,0,1,0,sales,low,EMP00243
0.4,0.5,2,128,3,0,1,0,sales,low,EMP00244
0.89,0.86,5,275,5,0,1,0,sales,low,EMP00245
0.45,0.46,2,155,3,0,1,0,sales,low,EMP00246
0.37,0.48,2,159,3,0,1,0,sales,low,EMP00247
0.46,0.49,2,148,3,0,1,0,sales,low,EMP00248
0.87,0.91,4,228,5,0,1,0,sales,low,EMP00249
0.11,0.84,6,298,4,0,1,0,sales,low,EMP00250
0.79,0.87,5,261,5,0,1,0,sales,low,EMP00251
0.79,0.92,5,254,6,0,1,0,sales,low,EMP00252
0.19,0.59,7,192,3,0,1,0,sales,low,EMP00253
0.87,0.98,4,248,5,0,1,0,sales,low,EMP00254
0.6,0.92,2,258,5,0,1,0,sales,low,EMP00255
0.44,0.45,2,156,3,0,1,0,sales,medium,EMP00256
0.11,0.81,6,266,4,1,1,0,sales,medium,EMP00257
0.42,0.54,2,156,3,0,1,0,sales,medium,EMP00258
0.88,0.88,5,232,5,1,1,0,accounting,medium,EMP00259
0.11,0.84,6,287,4,0,1,0,accounting,medium,EMP00260
0.46,0.46,2,154,3,0,1,0,accounting,medium,EMP00261
0.82,0.97,5,263,5,0,1,0,hr,medium,EMP00262
0.44,0.56,2,131,3,0,1,0,hr,medium,EMP00263
0.11,0.78,6,260,4,0,1,0,hr,medium,EMP00264
0.42,0.5,2,139,3,0,1,0,hr,medium,EMP00265
0.84,0.93,4,251,5,0,1,0,technical,medium,EMP00266
0.11,0.95,6,286,4,0,1,0,technical,medium,EMP00267
0.45,0.53,2,129,3,0,1,0,technical,high,EMP00268
0.38,0.56,2,156,3,0,1,0,technical,low,EMP00269
0.38,0.86,6,139,6,0,1,0,technical,medium,EMP00270
0.44,0.51,2,127,3,0,1,0,technical,medium,EMP00271
0.11,0.84,6,251,4,0,1,0,technical,medium,EMP00272
0.81,0.93,5,270,5,0,1,0,technical,medium,EMP00273
0.09,0.96,6,296,4,0,1,0,technical,low,EMP00274
0.11,0.9,6,254,4,0,1,0,technical,low,EMP00275
0.81,0.95,5,238,6,0,1,0,technical,low,EMP00276
0.1,0.97,6,267,4,1,1,0,support,low,EMP00277
0.74,0.89,5,229,6,0,1,0,support,low,EMP00278
0.09,0.78,6,254,4,0,1,0,support,low,EMP00279
0.82,0.81,4,233,4,1,1,0,support,low,EMP00280
0.1,0.98,6,268,4,0,1,0,support,low,EMP00281
0.27,0.56,3,301,3,0,1,0,support,low,EMP00282
0.83,0.92,5,267,6,0,1,0,support,low,EMP00283
0.1,0.93,6,289,4,1,1,0,support,low,EMP00284
0.38,0.47,2,144,3,0,1,0,support,low,EMP00285
0.4,0.56,2,148,3,0,1,0,support,low,EMP00286
0.11,0.83,6,306,4,0,1,0,support,low,EMP00287
0.11,0.79,6,292,4,0,1,1,technical,low,EMP00288
0.82,0.91,5,232,5,0,1,0,technical,low,EMP00289
0.36,0.48,2,137,3,0,1,0,technical,low,EMP00290
0.4,0.46,2,128,3,0,1,0,management,low,EMP00291
0.87,0.84,5,231,5,0,1,0,IT,low,EMP00292
0.41,0.49,2,146,3,0,1,0,IT,low,EMP00293
0.11,0.91,6,308,4,1,1,0,IT,low,EMP00294
0.1,0.93,6,253,4,0,1,0,IT,medium,EMP00295
0.38,0.51,2,146,3,0,1,0,IT,medium,EMP00296
0.39,0.55,2,156,3,0,1,0,product_mng,medium,EMP00297
0.4,0.52,2,147,3,0,1,0,product_mng,medium,EMP00298
0.45,0.48,2,136,3,0,1,0,product_mng,medium,EMP00299
0.74,0.84,5,249,5,0,1,0,product_mng,medium,EMP00300
0.45,0.55,2,151,3,0,1,0,IT,medium,EMP00301
0.12,1,3,278,4,0,1,0,RandD,medium,EMP00302
0.1,0.77,7,250,5,0,1,0,RandD,medium,EMP00303
0.37,0.55,2,127,3,0,1,0,RandD,medium,EMP00304
0.89,0.87,5,255,5,0,1,0,RandD,medium,EMP00305
0.45,0.47,2,135,3,0,1,0,RandD,medium,EMP00306
0.37,0.46,2,149,3,0,1,0,marketing,high,EMP00307
0.11,0.81,5,287,4,0,1,0,sales,low,EMP00308
0.41,0.48,2,145,3,0,1,0,accounting,medium,EMP00309
0.1,0.94,6,285,4,0,1,0,support,medium,EMP00310
0.1,0.93,7,305,4,0,1,0,technical,medium,EMP00311
0.11,0.95,7,300,4,0,1,0,management,medium,EMP00312
0.4,0.54,2,139,3,0,1,0,marketing,low,EMP00313
0.41,0.49,2,130,3,0,1,0,marketing,low,EMP00314
0.1,0.81,6,268,4,0,1,0,marketing,low,EMP00315
0.73,0.86,4,245,6,0,1,0,sales,low,EMP00316
0.43,0.47,2,135,3,0,1,0,sales,low,EMP00317
0.37,0.46,2,153,3,0,1,0,sales,low,EMP00318
0.11,0.94,6,276,4,0,1,0,sales,low,EMP00319
0.4,0.46,2,130,3,0,1,0,sales,low,EMP00320
0.41,0.54,2,153,3,1,1,0,sales,low,EMP00321
0.82,0.84,5,244,5,0,1,0,sales,low,EMP00322
0.61,0.47,2,253,3,0,1,0,sales,low,EMP00323
0.11,0.91,7,287,4,0,1,0,sales,low,EMP00324
0.37,0.45,2,131,3,0,1,0,sales,low,EMP00325
0.41,0.52,2,135,3,0,1,0,sales,low,EMP00326
0.37,0.52,2,157,3,0,1,0,sales,low,EMP00327
0.88,0.99,5,262,6,0,1,0,sales,low,EMP00328
0.1,0.85,6,266,4,0,1,0,sales,low,EMP00329
0.44,0.48,2,148,3,0,1,0,sales,low,EMP00330
0.38,0.57,2,140,3,0,1,0,sales,low,EMP00331
0.11,0.85,7,302,4,0,1,0,sales,low,EMP00332
0.09,0.98,6,271,4,0,1,0,sales,low,EMP00333
0.45,0.52,2,145,3,0,1,0,sales,medium,EMP00334
0.1,0.81,6,290,4,0,1,0,accounting,medium,EMP00335
0.45,0.47,2,151,3,0,1,0,accounting,medium,EMP00336
0.77,0.87,5,266,5,0,1,0,accounting,medium,EMP00337
0.44,0.51,2,140,3,0,1,0,hr,medium,EMP00338
0.39,0.5,2,142,3,0,1,0,hr,medium,EMP00339
0.1,0.91,6,246,4,0,1,0,hr,medium,EMP00340
0.09,0.89,7,308,5,0,1,0,hr,medium,EMP00341
0.37,0.47,2,141,3,0,1,0,technical,medium,EMP00342
0.9,1,5,232,5,0,1,0,technical,medium,EMP00343
0.41,0.56,2,143,3,0,1,0,technical,medium,EMP00344
0.37,0.52,2,155,3,0,1,0,technical,medium,EMP00345
0.1,0.86,6,278,4,0,1,0,technical,high,EMP00346
0.81,1,4,253,5,0,1,0,technical,low,EMP00347
0.11,0.8,6,282,4,0,1,0,technical,medium,EMP00348
0.11,0.84,7,264,4,0,1,0,technical,medium,EMP00349
0.4,0.46,2,149,3,0,1,0,technical,medium,EMP00350
0.09,0.8,6,304,5,0,1,0,technical,medium,EMP00351
0.48,0.93,3,219,6,0,1,0,technical,low,EMP00352
0.91,0.91,4,262,6,0,1,0,support,low,EMP00353
0.43,0.57,2,135,3,0,1,0,support,low,EMP00354
0.33,0.88,6,219,5,0,1,0,support,low,EMP00355
0.41,0.57,2,136,3,0,1,0,support,low,EMP00356
0.41,0.55,2,154,3,0,1,0,support,low,EMP00357
0.37,0.54,2,149,3,0,1,0,support,low,EMP00358
0.31,0.62,6,135,5,0,1,0,support,low,EMP00359
0.09,0.91,6,275,4,0,1,0,support,low,EMP00360
0.1,0.87,6,290,4,0,1,0,support,low,EMP00361
0.76,0.9,4,263,5,0,1,0,support,low,EMP00362
0.41,0.54,2,145,3,0,1,0,support,low,EMP00363
0.72,0.96,5,267,5,0,1,0,technical,low,EMP00364
0.4,0.5,2,141,3,1,1,0,technical,low,EMP00365
0.91,0.87,4,235,5,0,1,0,technical,low,EMP00366
0.1,0.83,6,258,4,0,1,0,management,low,EMP00367
0.4,0.56,2,131,3,0,1,0,IT,low,EMP00368
0.82,0.86,5,243,5,0,1,0,IT,low,EMP00369
0.1,0.82,6,266,4,0,1,0,IT,low,EMP00370
0.37,0.45,2,142,3,0,1,0,IT,low,EMP00371
0.36,0.51,2,135,3,0,1,0,IT,low,EMP00372
0.39,0.48,2,141,3,0,1,0,product_mng,medium,EMP00373
0.36,0.57,2,142,3,0,1,0,product_mng,medium,EMP00374
0.86,0.84,5,254,5,0,1,0,product_mng,medium,EMP00375
0.73,0.99,5,262,5,0,1,0,product_mng,medium,EMP00376
0.56,0.71,4,296,2,0,1,0,IT,medium,EMP00377
0.44,0.56,2,158,3,0,1,0,accounting,medium,EMP00378
0.31,0.56,4,238,2,0,1,0,accounting,medium,EMP00379
0.77,0.93,4,231,5,0,1,0,hr,medium,EMP00380
0.44,0.45,2,156,3,0,1,0,hr,medium,EMP00381
0.38,0.46,2,145,3,0,1,0,hr,medium,EMP00382
0.45,0.48,2,144,3,0,1,0,marketing,medium,EMP00383
0.38,0.51,2,159,3,0,1,0,sales,medium,EMP00384
0.36,0.48,2,156,3,0,1,0,accounting,high,EMP00385
0.75,0.9,5,256,5,0,1,0,support,low,EMP00386
0.1,0.93,6,298,4,0,1,0,technical,medium,EMP00387
0.1,0.97,6,247,4,0,1,0,management,medium,EMP00388
0.45,0.5,2,157,3,0,1,0,marketing,medium,EMP00389
0.42,0.57,2,154,3,1,1,0,marketing,medium,EMP00390
0.78,1,4,253,5,0,1,0,marketing,low,EMP00391
0.45,0.55,2,148,3,0,1,0,sales,low,EMP00392
0.84,1,4,261,5,0,1,0,sales,low,EMP00393
0.11,0.93,6,282,4,0,1,0,sales,low,EMP00394
0.42,0.56,2,133,3,0,1,0,sales,low,EMP00395
0.45,0.46,2,128,3,0,1,0,sales,low,EMP00396
0.46,0.57,2,139,3,0,1,0,sales,low,EMP00397
0.09,0.79,6,293,5,0,1,0,sales,low,EMP00398
0.87,0.83,4,265,6,0,1,0,sales,low,EMP00399
0.1,0.87,6,250,4,0,1,0,sales,low,EMP00400
0.91,1,5,251,6,0,1,0,sales,low,EMP00401
0.76,0.92,4,246,5,0,1,0,sales,low,EMP00402
0.74,1,5,275,5,0,1,0,sales,low,EMP00403
0.92,0.93,5,240,5,0,1,0,sales,low,EMP00404
0.76,0.87,5,245,5,0,1,0,sales,low,EMP00405
0.47,0.5,4,254,4,0,1,0,sales,low,EMP00406
0.73,0.99,5,241,5,0,1,0,sales,low,EMP00407
0.09,0.94,6,257,4,0,1,0,sales,low,EMP00408
0.91,0.92,4,246,5,0,1,0,sales,low,EMP00409
0.82,0.98,4,233,5,0,1,0,sales,low,EMP00410
0.28,0.45,6,218,4,0,1,0,accounting,low,EMP00411
0.84,0.99,4,262,6,0,1,0,accounting,medium,EMP00412
0.45,0.53,2,138,3,0,1,0,accounting,medium,EMP00413
0.45,0.54,2,142,3,0,1,0,hr,medium,EMP00414
0.91,0.97,5,233,5,0,1,0,hr,medium,EMP00415
0.42,0.48,2,155,3,0,1,0,hr,medium,EMP00416
0.82,1,4,229,6,0,1,0,hr,medium,EMP00417
0.11,0.9,6,264,4,0,1,0,technical,medium,EMP00418
0.42,0.53,3,199,4,0,1,0,technical,medium,EMP00419
0.82,0.85,4,223,5,0,1,0,technical,medium,EMP00420
0.09,0.96,6,268,4,0,1,0,technical,medium,EMP00421
0.1,0.94,6,287,4,0,1,0,technical,medium,EMP00422
0.86,1,5,257,5,0,1,0,technical,medium,EMP00423
0.4,0.46,2,143,3,0,1,0,technical,high,EMP00424
0.45,0.46,2,130,3,0,1,0,technical,low,EMP00425
0.42,0.51,2,136,3,0,1,0,technical,medium,EMP00426
0.74,0.92,4,261,5,0,1,0,technical,medium,EMP00427
0.55,0.6,3,180,4,0,1,0,technical,medium,EMP00428
0.37,0.45,2,126,3,0,1,0,support,medium,EMP00429
0.41,0.52,2,127,3,1,1,0,support,low,EMP00430
0.89,0.65,5,195,6,0,1,0,support,low,EMP00431
0.41,0.57,2,160,3,0,1,0,support,low,EMP00432
0.44,0.51,2,150,3,0,1,0,support,low,EMP00433
0.87,0.84,4,264,6,0,1,0,support,low,EMP00434
0.1,0.84,6,309,4,0,1,0,support,low,EMP00435
0.41,0.47,2,135,3,0,1,0,support,low,EMP00436
0.11,0.85,6,261,4,0,1,0,support,low,EMP00437
0.43,0.53,2,160,3,0,1,0,support,low,EMP00438
0.77,0.9,4,237,5,0,1,0,support,low,EMP00439
0.41,0.52,2,136,3,0,1,0,technical,low,EMP00440
0.41,0.48,2,139,3,0,1,0,technical,low,EMP00441
0.36,0.78,2,151,4,0,1,0,technical,low,EMP00442
0.77,1,5,229,5,0,1,0,management,low,EMP00443
